feature_type,dataset,difficulty,query type,alpha,diffusion scalar,distance metric,mAP,precision at 1,precision at 5,precision at 10
vgg,ox,M,expanded,0.5,,cosine,0.7440278371593386,0.8,0.7285714285714285,0.7042857142857143
vgg,ox,M,expanded,0.75,,cosine,0.7479577693163274,0.8,0.7285714285714285,0.7100000000000001
vgg,ox,M,expanded,1.0,,cosine,0.7504012921325665,0.8,0.7285714285714285,0.7114285714285715
vgg,ox,M,diffusion,,1.0,,0.4692467167118857,0.4857142857142857,0.47714285714285715,0.4614285714285714
vgg,ox,H,basic,,,euclidean,0.5619300846227263,0.6857142857142857,0.6057142857142858,0.5699999999999998
vgg,ox,H,expanded,0.25,,euclidean,0.5665320529719668,0.6857142857142857,0.6057142857142858,0.5671428571428571
vgg,ox,H,expanded,0.5,,euclidean,0.5712528112434475,0.6857142857142857,0.6057142857142858,0.5671428571428571
vgg,ox,H,expanded,0.75,,euclidean,0.5759215192384836,0.6857142857142857,0.6057142857142858,0.57
vgg,ox,H,expanded,1.0,,euclidean,0.5785807328012987,0.6857142857142857,0.6057142857142858,0.5671428571428572
vgg,ox,H,basic,,,cosine,0.6793737825003611,0.7857142857142857,0.6542857142857144,0.6257142857142857
vgg,ox,H,expanded,0.25,,cosine,0.6958163654477664,0.7857142857142857,0.6542857142857144,0.6328571428571428
vgg,ox,H,expanded,0.5,,cosine,0.6992473230148458,0.7857142857142857,0.6542857142857144,0.6328571428571428
vgg,ox,H,expanded,0.75,,cosine,0.7011488799723926,0.7857142857142857,0.6542857142857144,0.6328571428571428
vgg,ox,H,expanded,1.0,,cosine,0.7019833971167472,0.7857142857142857,0.6542857142857144,0.6342857142857142
vgg,ox,H,diffusion,,1.0,,0.46794791537381974,0.45714285714285713,0.46285714285714286,0.4585714285714286
vgg,par,E,basic,,,euclidean,0.9257018191371275,1.0,0.9942857142857142,0.9928571428571429
vgg,par,E,expanded,0.25,,euclidean,0.9305187963128855,1.0,0.9942857142857142,0.9971428571428571
vgg,par,E,expanded,0.5,,euclidean,0.9351513696033062,1.0,0.9942857142857142,0.9971428571428571
vgg,par,E,expanded,0.75,,euclidean,0.9397909209552572,1.0,0.9942857142857142,0.9971428571428571
vgg,par,E,expanded,1.0,,euclidean,0.9439402008172575,1.0,0.9942857142857142,0.9971428571428571
vgg,par,E,basic,,,cosine,0.9999790002913993,1.0,1.0,1.0
vgg,par,E,expanded,0.25,,cosine,0.9999855076749522,1.0,1.0,1.0
vgg,par,E,expanded,0.5,,cosine,0.9999855076749522,1.0,1.0,1.0
vgg,par,E,expanded,0.75,,cosine,0.9999836417857393,1.0,1.0,1.0
